# ZSnsr (um)	Defl (nm)
-1.209683999999999933e-03	-2.131966299999999592e+03
-1.153156800000000072e-03	-2.132307600000000093e+03
-1.085324099999999958e-03	-2.131727800000000116e+03
-1.051407600000000067e-03	-2.130941299999999956e+03
-1.074018499999999888e-03	-2.129956999999999880e+03
-1.085324099999999958e-03	-2.129431999999999789e+03
-1.062713100000000103e-03	-2.128696699999999964e+03
-1.096629499999999960e-03	-2.128314199999999801e+03
-1.062713100000000103e-03	-2.127264900000000125e+03
-1.074018499999999888e-03	-2.126557299999999941e+03
-1.051407600000000067e-03	-2.125771499999999833e+03
-1.062713100000000103e-03	-2.124871299999999792e+03
-1.062713100000000103e-03	-2.124143500000000131e+03
-1.017491300000000027e-03	-2.123521199999999681e+03
-1.051407600000000067e-03	-2.122784699999999702e+03
-1.062713100000000103e-03	-2.121800400000000081e+03
-1.096629499999999960e-03	-2.121025100000000293e+03
-1.040102200000000065e-03	-2.120384999999999764e+03
-1.040102200000000065e-03	-2.119562599999999748e+03
-1.074018499999999888e-03	-2.118570400000000063e+03
-1.085324099999999958e-03	-2.117559700000000248e+03
-1.096629499999999960e-03	-2.116545399999999972e+03
-1.028796700000000029e-03	-2.116061799999999948e+03
-1.017491300000000027e-03	-2.115178600000000188e+03
-1.017491300000000027e-03	-2.114753900000000158e+03
-1.028796700000000029e-03	-2.113566299999999956e+03
-1.028796700000000029e-03	-2.112513100000000122e+03
-1.096629499999999960e-03	-2.111754800000000159e+03
-1.096629499999999960e-03	-2.110777599999999893e+03
-1.107934999999999996e-03	-2.109899899999999889e+03
-1.130545899999999817e-03	-2.108946100000000115e+03
-1.107934999999999996e-03	-2.108188900000000103e+03
-1.062713100000000103e-03	-2.107370799999999690e+03
-1.051407600000000067e-03	-2.106483200000000124e+03
-1.051407600000000067e-03	-2.105256699999999910e+03
-1.017491300000000027e-03	-2.104515499999999975e+03
-1.028796700000000029e-03	-2.103602399999999761e+03
-1.074018499999999888e-03	-2.102742900000000191e+03
-1.051407600000000067e-03	-2.101962800000000243e+03
-1.028796700000000029e-03	-2.100991700000000037e+03
-1.062713100000000103e-03	-2.100045500000000175e+03
-1.096629499999999960e-03	-2.098964400000000296e+03
-1.051407600000000067e-03	-2.098143799999999828e+03
-1.074018499999999888e-03	-2.097112000000000080e+03
-1.096629499999999960e-03	-2.096337300000000141e+03
-1.051407600000000067e-03	-2.095499400000000151e+03
-1.085324099999999958e-03	-2.094412100000000009e+03
-1.085324099999999958e-03	-2.093633199999999761e+03
-1.074018499999999888e-03	-2.092876500000000306e+03
-1.051407600000000067e-03	-2.091697099999999864e+03
-1.028796700000000029e-03	-2.091168199999999615e+03
-1.074018499999999888e-03	-2.090288300000000163e+03
-1.074018499999999888e-03	-2.089081600000000435e+03
-1.040102200000000065e-03	-2.088096799999999803e+03
-1.028796700000000029e-03	-2.086861300000000028e+03
-1.006185799999999991e-03	-2.086209899999999834e+03
-1.085324099999999958e-03	-2.084918599999999969e+03
-1.074018499999999888e-03	-2.084252199999999903e+03
-1.085324099999999958e-03	-2.083240399999999681e+03
-1.040102200000000065e-03	-2.082164199999999710e+03
-1.051407600000000067e-03	-2.081541199999999662e+03
-1.130545899999999817e-03	-2.080377299999999650e+03
-1.085324099999999958e-03	-2.079808800000000247e+03
-1.062713100000000103e-03	-2.078666700000000219e+03
-1.017491300000000027e-03	-2.077433500000000095e+03
-1.040102200000000065e-03	-2.076469399999999951e+03
-1.017491300000000027e-03	-2.075834599999999682e+03
-1.028796700000000029e-03	-2.074712700000000041e+03
-1.051407600000000067e-03	-2.073893300000000181e+03
-1.074018499999999888e-03	-2.072742300000000341e+03
-1.028796700000000029e-03	-2.071784100000000308e+03
-1.085324099999999958e-03	-2.070808700000000044e+03
-1.107934999999999996e-03	-2.069675200000000132e+03
-1.096629499999999960e-03	-2.069070200000000114e+03
-1.051407600000000067e-03	-2.068115199999999732e+03
-1.062713100000000103e-03	-2.067283500000000004e+03
-1.017491300000000027e-03	-2.066117100000000391e+03
-1.028796700000000029e-03	-2.065568200000000161e+03
-1.017491300000000027e-03	-2.064354500000000371e+03
-1.051407600000000067e-03	-2.063043900000000122e+03
-1.028796700000000029e-03	-2.062302900000000136e+03
-1.028796700000000029e-03	-2.061325899999999820e+03
-1.074018499999999888e-03	-2.060335399999999936e+03
-1.017491300000000027e-03	-2.059346799999999803e+03
-1.051407600000000067e-03	-2.058467500000000200e+03
-1.028796700000000029e-03	-2.057413900000000012e+03
-1.040102200000000065e-03	-2.056257500000000164e+03
-1.051407600000000067e-03	-2.055462799999999788e+03
-1.085324099999999958e-03	-2.054470100000000002e+03
-1.096629499999999960e-03	-2.053280499999999847e+03
-1.028796700000000029e-03	-2.052413000000000011e+03
-1.085324099999999958e-03	-2.051278199999999742e+03
-1.028796700000000029e-03	-2.050315699999999651e+03
-1.017491300000000027e-03	-2.049572000000000116e+03
-1.062713100000000103e-03	-2.048471500000000106e+03
-1.085324099999999958e-03	-2.047519299999999930e+03
-1.040102200000000065e-03	-2.046561299999999846e+03
-1.028796700000000029e-03	-2.045956799999999930e+03
-1.017491300000000027e-03	-2.044667599999999766e+03
-1.040102200000000065e-03	-2.043755600000000186e+03
-1.006185799999999991e-03	-2.042872200000000021e+03
-9.835748899999999934e-04	-2.041717600000000175e+03
-1.017491300000000027e-03	-2.040865200000000186e+03
