# ZSnsr (um)	Defl (nm)
-3.953974500000000461e-03	-2.171826299999999719e+03
-3.939776899999999742e-03	-2.171679599999999937e+03
-3.922030299999999629e-03	-2.171358299999999872e+03
-3.939776899999999742e-03	-2.170642100000000028e+03
-3.943326599999999807e-03	-2.169893599999999878e+03
-3.950425300000000133e-03	-2.169200600000000122e+03
-3.953974500000000461e-03	-2.168449100000000271e+03
-3.957523600000000322e-03	-2.167679399999999987e+03
-3.961073199999999919e-03	-2.166984399999999823e+03
-3.929128999999999955e-03	-2.166321799999999712e+03
-3.932678599999999552e-03	-2.165603500000000167e+03
-3.939776899999999742e-03	-2.164780400000000100e+03
-3.950425300000000133e-03	-2.163888200000000325e+03
-3.946875699999999668e-03	-2.163037400000000162e+03
-3.953974500000000461e-03	-2.162264799999999923e+03
-3.968171999999999845e-03	-2.161483499999999822e+03
-3.964622400000000248e-03	-2.160625900000000001e+03
-3.936227799999999881e-03	-2.159745499999999993e+03
-3.939776899999999742e-03	-2.158940999999999804e+03
-3.939776899999999742e-03	-2.158199100000000271e+03
-3.946875699999999668e-03	-2.157431900000000041e+03
-3.964622400000000248e-03	-2.156629500000000007e+03
-3.946875699999999668e-03	-2.155776199999999790e+03
-3.943326599999999807e-03	-2.154839399999999841e+03
-3.943326599999999807e-03	-2.153941100000000006e+03
-3.950425300000000133e-03	-2.153166200000000117e+03
-3.953974500000000461e-03	-2.152349199999999655e+03
-3.953974500000000461e-03	-2.151411799999999857e+03
-3.957523600000000322e-03	-2.150497499999999945e+03
-3.971721200000000174e-03	-2.149618899999999940e+03
-3.950425300000000133e-03	-2.148701000000000022e+03
-3.918481100000000168e-03	-2.147773799999999937e+03
-3.929128999999999955e-03	-2.146839099999999689e+03
-3.939776899999999742e-03	-2.145901100000000042e+03
-3.946875699999999668e-03	-2.145014400000000023e+03
-3.946875699999999668e-03	-2.144167200000000321e+03
-3.946875699999999668e-03	-2.143361800000000130e+03
-3.929128999999999955e-03	-2.142614900000000034e+03
-3.950425300000000133e-03	-2.141818600000000060e+03
-3.946875699999999668e-03	-2.140871200000000044e+03
-3.943326599999999807e-03	-2.139856600000000071e+03
-3.946875699999999668e-03	-2.138888500000000022e+03
-3.932678599999999552e-03	-2.137924899999999980e+03
-3.943326599999999807e-03	-2.136951000000000022e+03
-3.932678599999999552e-03	-2.136069300000000112e+03
-3.943326599999999807e-03	-2.135232500000000073e+03
-3.943326599999999807e-03	-2.134302099999999882e+03
-3.957523600000000322e-03	-2.133365099999999984e+03
-3.929128999999999955e-03	-2.132559299999999894e+03
-3.932678599999999552e-03	-2.131756000000000313e+03
-3.939776899999999742e-03	-2.130788700000000063e+03
-3.957523600000000322e-03	-2.129739600000000337e+03
-3.961073199999999919e-03	-2.128742400000000089e+03
-3.953974500000000461e-03	-2.127802900000000136e+03
-3.953974500000000461e-03	-2.126907499999999800e+03
-3.953974500000000461e-03	-2.126025900000000092e+03
-3.939776899999999742e-03	-2.125108500000000276e+03
-3.946875699999999668e-03	-2.124189699999999903e+03
-3.932678599999999552e-03	-2.123304499999999734e+03
-3.939776899999999742e-03	-2.122399799999999686e+03
-3.943326599999999807e-03	-2.121418200000000070e+03
-3.929128999999999955e-03	-2.120396199999999681e+03
-3.929128999999999955e-03	-2.119413900000000012e+03
-3.936227799999999881e-03	-2.118450100000000020e+03
-3.929128999999999955e-03	-2.117447999999999865e+03
-3.929128999999999955e-03	-2.116434900000000198e+03
-3.950425300000000133e-03	-2.115466499999999996e+03
-3.946875699999999668e-03	-2.114592699999999695e+03
-3.950425300000000133e-03	-2.113805499999999938e+03
-3.932678599999999552e-03	-2.112990199999999732e+03
-3.929128999999999955e-03	-2.112068600000000060e+03
-3.939776899999999742e-03	-2.111046800000000076e+03
-3.922030299999999629e-03	-2.109945400000000063e+03
-3.918481100000000168e-03	-2.108872600000000148e+03
-3.918481100000000168e-03	-2.107913599999999860e+03
-3.953974500000000461e-03	-2.106975200000000314e+03
-3.932678599999999552e-03	-2.106000500000000102e+03
-3.943326599999999807e-03	-2.105083900000000085e+03
-3.964622400000000248e-03	-2.104214899999999943e+03
-3.936227799999999881e-03	-2.103211999999999989e+03
-3.939776899999999742e-03	-2.102097400000000107e+03
-3.943326599999999807e-03	-2.101110300000000279e+03
-3.939776899999999742e-03	-2.100224899999999707e+03
-3.932678599999999552e-03	-2.099285700000000361e+03
-3.953974500000000461e-03	-2.098345899999999801e+03
-3.953974500000000461e-03	-2.097392599999999675e+03
-3.939776899999999742e-03	-2.096350300000000061e+03
-3.950425300000000133e-03	-2.095323199999999815e+03
-3.953974500000000461e-03	-2.094380499999999756e+03
-3.946875699999999668e-03	-2.093454199999999673e+03
-3.939776899999999742e-03	-2.092464199999999892e+03
-3.943326599999999807e-03	-2.091404199999999946e+03
-3.936227799999999881e-03	-2.090405099999999948e+03
-3.939776899999999742e-03	-2.089513599999999769e+03
-3.946875699999999668e-03	-2.088569500000000062e+03
-3.961073199999999919e-03	-2.087492900000000191e+03
-3.957523600000000322e-03	-2.086419300000000021e+03
-3.946875699999999668e-03	-2.085510000000000218e+03
-3.939776899999999742e-03	-2.084677799999999934e+03
-3.961073199999999919e-03	-2.083699200000000019e+03
-3.953974500000000461e-03	-2.082628299999999854e+03
-3.953974500000000461e-03	-2.081619400000000041e+03
-3.939776899999999742e-03	-2.080608299999999872e+03
-3.950425300000000133e-03	-2.079580800000000181e+03
-3.950425300000000133e-03	-2.078624700000000303e+03
-3.950425300000000133e-03	-2.077662699999999859e+03
-3.943326599999999807e-03	-2.076631300000000010e+03
-3.939776899999999742e-03	-2.075648099999999886e+03
-3.946875699999999668e-03	-2.074746100000000297e+03
-3.946875699999999668e-03	-2.073821400000000267e+03
-3.943326599999999807e-03	-2.072872299999999996e+03
-3.943326599999999807e-03	-2.071954400000000078e+03
-3.950425300000000133e-03	-2.070994200000000092e+03
-3.929128999999999955e-03	-2.069901699999999892e+03
-3.936227799999999881e-03	-2.068768300000000181e+03
-3.946875699999999668e-03	-2.067716199999999844e+03
-3.961073199999999919e-03	-2.066711399999999685e+03
-3.953974500000000461e-03	-2.065690799999999854e+03
-3.950425300000000133e-03	-2.064688899999999649e+03
-3.946875699999999668e-03	-2.063741200000000390e+03
-3.939776899999999742e-03	-2.062803599999999733e+03
-3.929128999999999955e-03	-2.061847900000000209e+03
-3.932678599999999552e-03	-2.060904300000000148e+03
-3.922030299999999629e-03	-2.059956599999999980e+03
-3.922030299999999629e-03	-2.058929299999999785e+03
-3.929128999999999955e-03	-2.057801800000000185e+03
-3.907833199999999514e-03	-2.056705600000000231e+03
-3.922030299999999629e-03	-2.055761300000000119e+03
-3.925579900000000094e-03	-2.054845899999999801e+03
-3.918481100000000168e-03	-2.053809299999999894e+03
-3.907833199999999514e-03	-2.052744499999999789e+03
-3.922030299999999629e-03	-2.051807499999999891e+03
-3.911382299999999375e-03	-2.050976000000000113e+03
-3.900733999999999885e-03	-2.050106099999999969e+03
-3.914931899999999840e-03	-2.049132500000000164e+03
-3.918481100000000168e-03	-2.048093400000000202e+03
-3.914931899999999840e-03	-2.047025900000000092e+03
-3.904283599999999917e-03	-2.045942199999999957e+03
-3.897185200000000561e-03	-2.044870800000000145e+03
-3.907833199999999514e-03	-2.043844200000000001e+03
-3.925579900000000094e-03	-2.042841100000000097e+03
-3.907833199999999514e-03	-2.041825199999999995e+03
-3.907833199999999514e-03	-2.040816100000000006e+03
-3.922030299999999629e-03	-2.039859100000000126e+03
-3.918481100000000168e-03	-2.038949099999999817e+03
-3.922030299999999629e-03	-2.038028700000000072e+03
-3.918481100000000168e-03	-2.037044899999999870e+03
-3.932678599999999552e-03	-2.035988900000000058e+03
-3.911382299999999375e-03	-2.034915500000000065e+03
-3.918481100000000168e-03	-2.033877999999999929e+03
-3.936227799999999881e-03	-2.032879999999999882e+03
-3.932678599999999552e-03	-2.031953300000000127e+03
-3.922030299999999629e-03	-2.031103100000000040e+03
-3.929128999999999955e-03	-2.030167000000000144e+03
-3.932678599999999552e-03	-2.029045800000000099e+03
-3.925579900000000094e-03	-2.027952400000000125e+03
-3.925579900000000094e-03	-2.027019900000000007e+03
-3.911382299999999375e-03	-2.026078399999999874e+03
-3.922030299999999629e-03	-2.025069499999999834e+03
-3.932678599999999552e-03	-2.024107699999999795e+03
-3.936227799999999881e-03	-2.023186199999999872e+03
-3.932678599999999552e-03	-2.022225099999999884e+03
-3.932678599999999552e-03	-2.021241900000000214e+03
-3.932678599999999552e-03	-2.020276299999999992e+03
-3.929128999999999955e-03	-2.019269500000000107e+03
-3.911382299999999375e-03	-2.018207599999999957e+03
-3.904283599999999917e-03	-2.017234500000000253e+03
-3.900733999999999885e-03	-2.016382299999999987e+03
-3.918481100000000168e-03	-2.015432300000000168e+03
-3.929128999999999955e-03	-2.014235899999999901e+03
-3.943326599999999807e-03	-2.012940999999999804e+03
-3.925579900000000094e-03	-2.011757299999999987e+03
-3.925579900000000094e-03	-2.010724300000000085e+03
-3.932678599999999552e-03	-2.009805700000000115e+03
-3.918481100000000168e-03	-2.008955600000000004e+03
-3.925579900000000094e-03	-2.008079700000000003e+03
-3.932678599999999552e-03	-2.007130400000000009e+03
