# ZSnsr (um)	Defl (nm)
-1.432401600000000018e-02	-2.250178099999999631e+03
-1.431271000000000106e-02	-2.249771099999999933e+03
-1.431271000000000106e-02	-2.249262299999999868e+03
-1.432401600000000018e-02	-2.248620100000000093e+03
-1.430140499999999967e-02	-2.247791600000000017e+03
-1.434662699999999895e-02	-2.246963499999999840e+03
-1.434662699999999895e-02	-2.246617200000000139e+03
-1.433532099999999983e-02	-2.245577400000000125e+03
-1.434662699999999895e-02	-2.244765499999999975e+03
-1.433532099999999983e-02	-2.244104100000000017e+03
-1.432401600000000018e-02	-2.243265499999999975e+03
-1.436923699999999998e-02	-2.242696399999999812e+03
-1.436923699999999998e-02	-2.241825499999999920e+03
-1.442576500000000012e-02	-2.240977200000000266e+03
-1.438054299999999910e-02	-2.240296499999999924e+03
-1.433532099999999983e-02	-2.239513800000000174e+03
-1.436923699999999998e-02	-2.238664999999999964e+03
-1.432401600000000018e-02	-2.237443399999999656e+03
-1.430140499999999967e-02	-2.236834699999999884e+03
-1.435793299999999981e-02	-2.236031600000000253e+03
-1.433532099999999983e-02	-2.235179200000000037e+03
-1.431271000000000106e-02	-2.234479299999999967e+03
-1.427879400000000090e-02	-2.233476400000000012e+03
-1.426748899999999952e-02	-2.232862000000000080e+03
-1.426748899999999952e-02	-2.232303100000000086e+03
-1.425618299999999866e-02	-2.231243299999999635e+03
-1.421096099999999939e-02	-2.230403900000000249e+03
-1.426748899999999952e-02	-2.229512300000000323e+03
-1.432401600000000018e-02	-2.228490299999999934e+03
-1.431271000000000106e-02	-2.227795399999999972e+03
-1.432401600000000018e-02	-2.226800000000000182e+03
-1.431271000000000106e-02	-2.225822999999999865e+03
-1.429010000000000002e-02	-2.225327999999999975e+03
-1.430140499999999967e-02	-2.224022199999999884e+03
-1.432401600000000018e-02	-2.223337099999999737e+03
-1.431271000000000106e-02	-2.222676100000000133e+03
-1.430140499999999967e-02	-2.221603799999999865e+03
-1.434662699999999895e-02	-2.220674599999999828e+03
-1.431271000000000106e-02	-2.219777300000000196e+03
-1.429010000000000002e-02	-2.218674100000000180e+03
-1.431271000000000106e-02	-2.218085000000000036e+03
-1.427879400000000090e-02	-2.217074299999999766e+03
-1.424487800000000075e-02	-2.215923999999999978e+03
-1.424487800000000075e-02	-2.215127099999999700e+03
-1.422226700000000024e-02	-2.214221900000000005e+03
-1.426748899999999952e-02	-2.213203999999999724e+03
-1.426748899999999952e-02	-2.212270599999999831e+03
-1.425618299999999866e-02	-2.211387699999999768e+03
-1.424487800000000075e-02	-2.210271099999999933e+03
-1.422226700000000024e-02	-2.209399800000000141e+03
-1.424487800000000075e-02	-2.208234500000000025e+03
-1.421096099999999939e-02	-2.207439400000000205e+03
-1.427879400000000090e-02	-2.206469200000000001e+03
-1.433532099999999983e-02	-2.205605399999999918e+03
-1.429010000000000002e-02	-2.204825000000000273e+03
-1.424487800000000075e-02	-2.203657700000000204e+03
-1.427879400000000090e-02	-2.202831599999999980e+03
-1.422226700000000024e-02	-2.201881000000000313e+03
-1.425618299999999866e-02	-2.201023100000000341e+03
-1.429010000000000002e-02	-2.200225500000000011e+03
-1.427879400000000090e-02	-2.199119099999999889e+03
-1.426748899999999952e-02	-2.198137299999999868e+03
-1.424487800000000075e-02	-2.197335599999999886e+03
-1.425618299999999866e-02	-2.196678499999999985e+03
-1.426748899999999952e-02	-2.195453399999999874e+03
-1.430140499999999967e-02	-2.194364700000000084e+03
-1.427879400000000090e-02	-2.193646700000000237e+03
-1.423357299999999936e-02	-2.192688500000000204e+03
-1.422226700000000024e-02	-2.191894499999999880e+03
-1.427879400000000090e-02	-2.190577800000000025e+03
-1.422226700000000024e-02	-2.189823399999999765e+03
-1.422226700000000024e-02	-2.188747000000000298e+03
-1.424487800000000075e-02	-2.187764900000000125e+03
-1.427879400000000090e-02	-2.187144700000000284e+03
-1.427879400000000090e-02	-2.185732700000000023e+03
-1.423357299999999936e-02	-2.184858000000000175e+03
-1.422226700000000024e-02	-2.184088999999999942e+03
-1.425618299999999866e-02	-2.183026899999999841e+03
-1.426748899999999952e-02	-2.181999699999999848e+03
-1.429010000000000002e-02	-2.181037199999999757e+03
-1.430140499999999967e-02	-2.179857099999999718e+03
-1.425618299999999866e-02	-2.179157900000000154e+03
-1.430140499999999967e-02	-2.178160699999999906e+03
-1.424487800000000075e-02	-2.177215900000000147e+03
-1.427879400000000090e-02	-2.176151800000000094e+03
-1.427879400000000090e-02	-2.175105199999999968e+03
-1.430140499999999967e-02	-2.174278999999999996e+03
-1.432401600000000018e-02	-2.173375199999999950e+03
-1.429010000000000002e-02	-2.172319500000000062e+03
-1.429010000000000002e-02	-2.171072500000000218e+03
-1.429010000000000002e-02	-2.170131400000000212e+03
-1.425618299999999866e-02	-2.169224900000000162e+03
-1.434662699999999895e-02	-2.168273799999999937e+03
-1.436923699999999998e-02	-2.167374299999999948e+03
-1.430140499999999967e-02	-2.166215799999999945e+03
-1.429010000000000002e-02	-2.165190599999999904e+03
-1.430140499999999967e-02	-2.164194899999999961e+03
-1.429010000000000002e-02	-2.163634500000000116e+03
-1.434662699999999895e-02	-2.162771999999999935e+03
-1.431271000000000106e-02	-2.161733600000000024e+03
-1.432401600000000018e-02	-2.160662000000000262e+03
-1.425618299999999866e-02	-2.159673600000000079e+03
-1.426748899999999952e-02	-2.158634500000000116e+03
-1.431271000000000106e-02	-2.157360799999999927e+03
-1.430140499999999967e-02	-2.156359199999999873e+03
-1.429010000000000002e-02	-2.155941699999999855e+03
-1.430140499999999967e-02	-2.154948600000000170e+03
-1.427879400000000090e-02	-2.153702800000000025e+03
-1.434662699999999895e-02	-2.152928300000000036e+03
-1.430140499999999967e-02	-2.151752800000000207e+03
-1.427879400000000090e-02	-2.150861699999999928e+03
-1.425618299999999866e-02	-2.149958799999999883e+03
-1.431271000000000106e-02	-2.148859500000000025e+03
-1.430140499999999967e-02	-2.147789699999999812e+03
-1.434662699999999895e-02	-2.146782200000000103e+03
-1.430140499999999967e-02	-2.145849700000000212e+03
-1.429010000000000002e-02	-2.144679700000000139e+03
-1.430140499999999967e-02	-2.143722000000000207e+03
-1.431271000000000106e-02	-2.142616899999999987e+03
-1.434662699999999895e-02	-2.141702900000000227e+03
-1.430140499999999967e-02	-2.140722499999999854e+03
-1.429010000000000002e-02	-2.139646100000000388e+03
-1.432401600000000018e-02	-2.138740900000000238e+03
-1.435793299999999981e-02	-2.137891399999999976e+03
-1.436923699999999998e-02	-2.136629699999999957e+03
-1.430140499999999967e-02	-2.135453799999999774e+03
-1.431271000000000106e-02	-2.134659599999999955e+03
-1.426748899999999952e-02	-2.133977200000000266e+03
-1.431271000000000106e-02	-2.132948100000000068e+03
-1.429010000000000002e-02	-2.131966499999999996e+03
-1.429010000000000002e-02	-2.131103200000000015e+03
-1.425618299999999866e-02	-2.130206900000000132e+03
-1.433532099999999983e-02	-2.128728299999999763e+03
-1.433532099999999983e-02	-2.127705799999999726e+03
-1.427879400000000090e-02	-2.126936099999999897e+03
-1.429010000000000002e-02	-2.125813799999999901e+03
-1.426748899999999952e-02	-2.124708799999999883e+03
-1.429010000000000002e-02	-2.123668799999999919e+03
-1.427879400000000090e-02	-2.122749699999999848e+03
-1.431271000000000106e-02	-2.121698300000000017e+03
-1.432401600000000018e-02	-2.120869099999999889e+03
-1.430140499999999967e-02	-2.119806399999999940e+03
-1.426748899999999952e-02	-2.118919600000000173e+03
-1.424487800000000075e-02	-2.117989399999999932e+03
-1.423357299999999936e-02	-2.117208900000000085e+03
-1.422226700000000024e-02	-2.115949399999999969e+03
-1.426748899999999952e-02	-2.114803499999999985e+03
-1.422226700000000024e-02	-2.113890799999999672e+03
-1.419965599999999974e-02	-2.112827999999999975e+03
-1.423357299999999936e-02	-2.111807800000000043e+03
-1.429010000000000002e-02	-2.110647999999999683e+03
-1.426748899999999952e-02	-2.109689100000000053e+03
-1.425618299999999866e-02	-2.108944300000000112e+03
-1.429010000000000002e-02	-2.107873999999999796e+03
-1.429010000000000002e-02	-2.106854000000000269e+03
-1.430140499999999967e-02	-2.105878600000000006e+03
-1.425618299999999866e-02	-2.104729000000000269e+03
-1.429010000000000002e-02	-2.103705100000000130e+03
-1.426748899999999952e-02	-2.102650299999999788e+03
-1.427879400000000090e-02	-2.102033899999999903e+03
-1.427879400000000090e-02	-2.100797000000000025e+03
-1.426748899999999952e-02	-2.099816800000000057e+03
-1.424487800000000075e-02	-2.098725600000000213e+03
-1.429010000000000002e-02	-2.097666499999999814e+03
-1.423357299999999936e-02	-2.096848700000000008e+03
-1.423357299999999936e-02	-2.095535600000000159e+03
-1.421096099999999939e-02	-2.094654700000000048e+03
-1.415443400000000046e-02	-2.093523599999999988e+03
-1.418835000000000061e-02	-2.092446899999999914e+03
-1.431271000000000106e-02	-2.091773000000000138e+03
-1.426748899999999952e-02	-2.090436700000000201e+03
-1.426748899999999952e-02	-2.089363499999999931e+03
-1.427879400000000090e-02	-2.088275799999999890e+03
-1.431271000000000106e-02	-2.087690700000000106e+03
-1.433532099999999983e-02	-2.086544100000000071e+03
-1.432401600000000018e-02	-2.085899299999999585e+03
-1.430140499999999967e-02	-2.084556599999999889e+03
-1.429010000000000002e-02	-2.083510299999999916e+03
-1.431271000000000106e-02	-2.082525700000000143e+03
-1.429010000000000002e-02	-2.080958000000000084e+03
-1.425618299999999866e-02	-2.080114199999999983e+03
-1.423357299999999936e-02	-2.079433699999999590e+03
-1.431271000000000106e-02	-2.078242499999999836e+03
-1.432401600000000018e-02	-2.077378899999999703e+03
-1.427879400000000090e-02	-2.076565399999999954e+03
-1.430140499999999967e-02	-2.075263400000000274e+03
-1.427879400000000090e-02	-2.074096299999999701e+03
-1.433532099999999983e-02	-2.073526299999999992e+03
-1.430140499999999967e-02	-2.072233700000000226e+03
-1.426748899999999952e-02	-2.071416700000000219e+03
-1.423357299999999936e-02	-2.070333299999999781e+03
-1.425618299999999866e-02	-2.069167699999999968e+03
-1.429010000000000002e-02	-2.068083599999999933e+03
-1.429010000000000002e-02	-2.066743300000000090e+03
