# ZSnsr (um)	Defl (nm)
-4.352601399999999482e-03	-2.196205300000000079e+03
-4.307379799999999474e-03	-2.195585199999999986e+03
-4.228241299999999439e-03	-2.194918099999999868e+03
-4.194325299999999285e-03	-2.194505900000000111e+03
-4.250852599999999613e-03	-2.193623000000000047e+03
-4.273463400000000051e-03	-2.193075900000000274e+03
-4.307379799999999474e-03	-2.192440399999999954e+03
-4.375212600000000056e-03	-2.191417699999999968e+03
-4.363907000000000203e-03	-2.190966100000000097e+03
-4.284768999999999904e-03	-2.190462500000000091e+03
-4.284768999999999904e-03	-2.189397300000000087e+03
-4.262157700000000597e-03	-2.188657400000000052e+03
-4.250852599999999613e-03	-2.187675799999999981e+03
-4.239546900000000160e-03	-2.187196300000000065e+03
-4.296074199999999621e-03	-2.186603500000000167e+03
-4.262157700000000597e-03	-2.185590999999999894e+03
-4.250852599999999613e-03	-2.184647699999999986e+03
-4.194325299999999285e-03	-2.183905099999999948e+03
-4.183019699999999431e-03	-2.183031900000000405e+03
-4.239546900000000160e-03	-2.182449399999999969e+03
-4.273463400000000051e-03	-2.181517199999999775e+03
-4.262157700000000597e-03	-2.180463099999999940e+03
-4.273463400000000051e-03	-2.179698600000000170e+03
-4.216936099999999722e-03	-2.178840099999999893e+03
-4.216936099999999722e-03	-2.178204799999999977e+03
-4.250852599999999613e-03	-2.177365299999999934e+03
-4.318685000000000059e-03	-2.176160499999999956e+03
-4.329990599999999912e-03	-2.175683399999999892e+03
-4.341296199999999765e-03	-2.175100500000000011e+03
-4.318685000000000059e-03	-2.173727800000000116e+03
-4.318685000000000059e-03	-2.172904700000000048e+03
-4.397823399999999626e-03	-2.171947700000000168e+03
-4.329990599999999912e-03	-2.170843299999999999e+03
-4.329990599999999912e-03	-2.169833100000000286e+03
-4.284768999999999904e-03	-2.169273099999999886e+03
-4.352601399999999482e-03	-2.168410000000000309e+03
-4.307379799999999474e-03	-2.167851100000000315e+03
-4.250852599999999613e-03	-2.166511899999999969e+03
-4.239546900000000160e-03	-2.165867999999999938e+03
-4.262157700000000597e-03	-2.164860700000000179e+03
-4.250852599999999613e-03	-2.164264500000000226e+03
-4.250852599999999613e-03	-2.163248799999999846e+03
-4.262157700000000597e-03	-2.162153400000000147e+03
-4.262157700000000597e-03	-2.160745699999999943e+03
-4.262157700000000597e-03	-2.160048600000000079e+03
-4.318685000000000059e-03	-2.159187500000000000e+03
-4.262157700000000597e-03	-2.158289600000000064e+03
-4.216936099999999722e-03	-2.157395799999999781e+03
-4.262157700000000597e-03	-2.156494499999999789e+03
-4.262157700000000597e-03	-2.155678399999999783e+03
-4.262157700000000597e-03	-2.154395399999999881e+03
-4.250852599999999613e-03	-2.154019099999999980e+03
-4.216936099999999722e-03	-2.153205500000000029e+03
-4.228241299999999439e-03	-2.151987499999999727e+03
-4.228241299999999439e-03	-2.150793499999999767e+03
-4.205630499999999869e-03	-2.149881100000000060e+03
-4.194325299999999285e-03	-2.149281700000000001e+03
-4.171714099999999578e-03	-2.148029100000000199e+03
-4.205630499999999869e-03	-2.147173100000000431e+03
-4.250852599999999613e-03	-2.146107800000000225e+03
-4.262157700000000597e-03	-2.145250599999999849e+03
-4.284768999999999904e-03	-2.144277900000000045e+03
-4.273463400000000051e-03	-2.143532799999999952e+03
-4.250852599999999613e-03	-2.142867500000000291e+03
-4.205630499999999869e-03	-2.141637699999999768e+03
-4.205630499999999869e-03	-2.140338400000000092e+03
-4.171714099999999578e-03	-2.139487599999999929e+03
-4.205630499999999869e-03	-2.138617199999999684e+03
-4.205630499999999869e-03	-2.137748000000000047e+03
-4.183019699999999431e-03	-2.136908100000000104e+03
-4.273463400000000051e-03	-2.135965799999999945e+03
-4.239546900000000160e-03	-2.134996299999999792e+03
-4.262157700000000597e-03	-2.133811200000000099e+03
-4.239546900000000160e-03	-2.132942000000000007e+03
-4.160408899999999861e-03	-2.132315299999999752e+03
-4.205630499999999869e-03	-2.130869899999999689e+03
-4.194325299999999285e-03	-2.130353999999999814e+03
-4.250852599999999613e-03	-2.129255300000000261e+03
-4.273463400000000051e-03	-2.128215799999999945e+03
-4.273463400000000051e-03	-2.127299199999999928e+03
-4.284768999999999904e-03	-2.126394300000000385e+03
-4.273463400000000051e-03	-2.125315599999999904e+03
-4.250852599999999613e-03	-2.124371800000000349e+03
-4.318685000000000059e-03	-2.123451399999999921e+03
-4.352601399999999482e-03	-2.122300000000000182e+03
-4.284768999999999904e-03	-2.121482599999999820e+03
-4.262157700000000597e-03	-2.120379600000000210e+03
-4.239546900000000160e-03	-2.119217900000000100e+03
-4.250852599999999613e-03	-2.118218400000000202e+03
-4.296074199999999621e-03	-2.117565399999999954e+03
-4.318685000000000059e-03	-2.116564199999999801e+03
-4.329990599999999912e-03	-2.115603799999999865e+03
-4.307379799999999474e-03	-2.114497199999999793e+03
-4.307379799999999474e-03	-2.113562899999999900e+03
-4.296074199999999621e-03	-2.112531799999999748e+03
-4.284768999999999904e-03	-2.111527499999999691e+03
-4.341296199999999765e-03	-2.110514099999999871e+03
-4.397823399999999626e-03	-2.110040700000000015e+03
-4.352601399999999482e-03	-2.108898100000000341e+03
-4.375212600000000056e-03	-2.107903600000000097e+03
-4.284768999999999904e-03	-2.106857899999999972e+03
-4.239546900000000160e-03	-2.105809200000000146e+03
-4.273463400000000051e-03	-2.105076000000000022e+03
-4.262157700000000597e-03	-2.104035999999999603e+03
-4.329990599999999912e-03	-2.103329299999999876e+03
-4.296074199999999621e-03	-2.102015300000000025e+03
-4.284768999999999904e-03	-2.101113499999999931e+03
-4.318685000000000059e-03	-2.100240399999999681e+03
-4.296074199999999621e-03	-2.098757200000000012e+03
-4.318685000000000059e-03	-2.097884100000000217e+03
-4.307379799999999474e-03	-2.097307099999999991e+03
-4.228241299999999439e-03	-2.096000799999999799e+03
-4.273463400000000051e-03	-2.094880799999999908e+03
-4.296074199999999621e-03	-2.094031999999999698e+03
-4.216936099999999722e-03	-2.093011100000000170e+03
-4.137797699999999287e-03	-2.092022699999999986e+03
-4.183019699999999431e-03	-2.091016500000000178e+03
-4.239546900000000160e-03	-2.089661799999999857e+03
-4.296074199999999621e-03	-2.088837800000000243e+03
-4.307379799999999474e-03	-2.088292399999999816e+03
-4.250852599999999613e-03	-2.087121900000000096e+03
-4.284768999999999904e-03	-2.086126000000000204e+03
-4.307379799999999474e-03	-2.085199600000000373e+03
-4.318685000000000059e-03	-2.084114599999999882e+03
-4.262157700000000597e-03	-2.083042100000000119e+03
-4.273463400000000051e-03	-2.082336800000000039e+03
-4.284768999999999904e-03	-2.081161299999999756e+03
-4.250852599999999613e-03	-2.080138999999999669e+03
-4.239546900000000160e-03	-2.079103299999999763e+03
-4.262157700000000597e-03	-2.077988499999999931e+03
-4.273463400000000051e-03	-2.076780899999999747e+03
-4.262157700000000597e-03	-2.076034200000000055e+03
-4.284768999999999904e-03	-2.075167899999999918e+03
-4.250852599999999613e-03	-2.074195000000000164e+03
-4.284768999999999904e-03	-2.073224299999999857e+03
-4.296074199999999621e-03	-2.072197300000000268e+03
-4.284768999999999904e-03	-2.071113399999999729e+03
-4.228241299999999439e-03	-2.070014000000000124e+03
-4.262157700000000597e-03	-2.069195299999999861e+03
-4.262157700000000597e-03	-2.067883299999999963e+03
-4.216936099999999722e-03	-2.066743500000000040e+03
-4.250852599999999613e-03	-2.065915399999999863e+03
-4.284768999999999904e-03	-2.064895599999999831e+03
-4.296074199999999621e-03	-2.064049599999999828e+03
-4.296074199999999621e-03	-2.063213099999999940e+03
-4.273463400000000051e-03	-2.062086700000000292e+03
-4.273463400000000051e-03	-2.061054599999999937e+03
-4.205630499999999869e-03	-2.060245199999999841e+03
-4.284768999999999904e-03	-2.059018900000000031e+03
-4.273463400000000051e-03	-2.057897500000000036e+03
-4.194325299999999285e-03	-2.056923900000000231e+03
-4.250852599999999613e-03	-2.055924599999999828e+03
-4.284768999999999904e-03	-2.054698600000000170e+03
-4.262157700000000597e-03	-2.053913500000000113e+03
-4.307379799999999474e-03	-2.052863699999999881e+03
-4.296074199999999621e-03	-2.051937599999999748e+03
-4.296074199999999621e-03	-2.051142500000000382e+03
-4.273463400000000051e-03	-2.050312800000000152e+03
-4.296074199999999621e-03	-2.048933800000000247e+03
-4.363907000000000203e-03	-2.048037500000000364e+03
-4.307379799999999474e-03	-2.046758900000000040e+03
-4.262157700000000597e-03	-2.046015400000000000e+03
-4.318685000000000059e-03	-2.044696400000000267e+03
-4.341296199999999765e-03	-2.043683899999999994e+03
-4.318685000000000059e-03	-2.042685800000000199e+03
-4.307379799999999474e-03	-2.041644800000000032e+03
-4.239546900000000160e-03	-2.040580099999999902e+03
-4.262157700000000597e-03	-2.039777000000000044e+03
-4.262157700000000597e-03	-2.038897499999999809e+03
-4.296074199999999621e-03	-2.037864300000000185e+03
-4.262157700000000597e-03	-2.036756499999999960e+03
-4.228241299999999439e-03	-2.035908899999999903e+03
-4.239546900000000160e-03	-2.034913000000000011e+03
-4.307379799999999474e-03	-2.033756300000000238e+03
-4.284768999999999904e-03	-2.032748199999999997e+03
-4.284768999999999904e-03	-2.032014900000000125e+03
-4.262157700000000597e-03	-2.030894599999999855e+03
-4.307379799999999474e-03	-2.029934899999999743e+03
-4.296074199999999621e-03	-2.028762100000000146e+03
-4.341296199999999765e-03	-2.027584699999999884e+03
-4.329990599999999912e-03	-2.026729599999999891e+03
-4.273463400000000051e-03	-2.026039299999999912e+03
-4.352601399999999482e-03	-2.025011100000000170e+03
-4.296074199999999621e-03	-2.024061400000000049e+03
-4.273463400000000051e-03	-2.022919000000000096e+03
-4.284768999999999904e-03	-2.022025199999999813e+03
-4.307379799999999474e-03	-2.020483000000000175e+03
-4.329990599999999912e-03	-2.019582100000000082e+03
-4.307379799999999474e-03	-2.018408599999999979e+03
-4.228241299999999439e-03	-2.017514999999999873e+03
-4.250852599999999613e-03	-2.016433199999999943e+03
-4.273463400000000051e-03	-2.015895000000000209e+03
-4.228241299999999439e-03	-2.014795399999999972e+03
-4.250852599999999613e-03	-2.013623299999999972e+03
-4.284768999999999904e-03	-2.012678600000000188e+03
-4.329990599999999912e-03	-2.011390500000000202e+03
-4.284768999999999904e-03	-2.010645199999999932e+03
-4.273463400000000051e-03	-2.009731999999999971e+03
-4.296074199999999621e-03	-2.008536299999999983e+03
-4.284768999999999904e-03	-2.007612899999999854e+03
-4.318685000000000059e-03	-2.006318900000000212e+03
-4.329990599999999912e-03	-2.005350800000000163e+03
-4.318685000000000059e-03	-2.004211900000000242e+03
-4.318685000000000059e-03	-2.003175999999999931e+03
-4.341296199999999765e-03	-2.002612299999999777e+03
-4.296074199999999621e-03	-2.001466600000000199e+03
-4.318685000000000059e-03	-2.000412699999999859e+03
-4.318685000000000059e-03	-1.999414999999999964e+03
-4.239546900000000160e-03	-1.998156400000000076e+03
-4.262157700000000597e-03	-1.997386599999999817e+03
-4.250852599999999613e-03	-1.996314300000000003e+03
-4.228241299999999439e-03	-1.995438400000000001e+03
-4.239546900000000160e-03	-1.994123499999999694e+03
-4.239546900000000160e-03	-1.993057599999999866e+03
-4.273463400000000051e-03	-1.992444600000000264e+03
-4.273463400000000051e-03	-1.991248399999999947e+03
-4.250852599999999613e-03	-1.990113300000000208e+03
-4.262157700000000597e-03	-1.989024200000000064e+03
-4.262157700000000597e-03	-1.987970099999999775e+03
-4.284768999999999904e-03	-1.987122900000000072e+03
-4.273463400000000051e-03	-1.986276200000000017e+03
-4.262157700000000597e-03	-1.985255700000000161e+03
-4.284768999999999904e-03	-1.983729099999999789e+03
-4.273463400000000051e-03	-1.982640700000000152e+03
-4.273463400000000051e-03	-1.981943100000000186e+03
-4.273463400000000051e-03	-1.980962500000000091e+03
-4.307379799999999474e-03	-1.979665300000000116e+03
-4.228241299999999439e-03	-1.978537100000000009e+03
-4.284768999999999904e-03	-1.977668700000000172e+03
-4.296074199999999621e-03	-1.976408399999999801e+03
-4.273463400000000051e-03	-1.975465699999999970e+03
-4.273463400000000051e-03	-1.974498699999999872e+03
-4.250852599999999613e-03	-1.973372299999999996e+03
-4.228241299999999439e-03	-1.972230199999999741e+03
-4.205630499999999869e-03	-1.971113800000000083e+03
-4.239546900000000160e-03	-1.970663099999999986e+03
-4.183019699999999431e-03	-1.969555299999999761e+03
-4.216936099999999722e-03	-1.968375700000000052e+03
-4.262157700000000597e-03	-1.967311400000000049e+03
-4.239546900000000160e-03	-1.966261199999999917e+03
-4.250852599999999613e-03	-1.965222099999999955e+03
-4.216936099999999722e-03	-1.964374400000000151e+03
-4.228241299999999439e-03	-1.963315299999999979e+03
-4.183019699999999431e-03	-1.962032000000000153e+03
-4.194325299999999285e-03	-1.961155899999999974e+03
-4.149103300000000008e-03	-1.960157100000000128e+03
-4.216936099999999722e-03	-1.958929000000000087e+03
-4.205630499999999869e-03	-1.957867899999999963e+03
-4.183019699999999431e-03	-1.957206900000000132e+03
-4.183019699999999431e-03	-1.955872399999999971e+03
-4.194325299999999285e-03	-1.954596900000000005e+03
-4.137797699999999287e-03	-1.953621399999999994e+03
-4.149103300000000008e-03	-1.952913900000000012e+03
-4.183019699999999431e-03	-1.951879099999999880e+03
-4.194325299999999285e-03	-1.950661700000000110e+03
-4.149103300000000008e-03	-1.949668100000000095e+03
-4.171714099999999578e-03	-1.948574699999999893e+03
-4.160408899999999861e-03	-1.947640600000000177e+03
-4.171714099999999578e-03	-1.946551900000000160e+03
-4.194325299999999285e-03	-1.945481199999999717e+03
-4.194325299999999285e-03	-1.944531999999999698e+03
-4.228241299999999439e-03	-1.943499499999999898e+03
-4.205630499999999869e-03	-1.942759999999999991e+03
-4.194325299999999285e-03	-1.941268500000000131e+03
-4.115186899999999717e-03	-1.940423800000000028e+03
-4.115186899999999717e-03	-1.939303500000000213e+03
-4.160408899999999861e-03	-1.938329400000000078e+03
-4.171714099999999578e-03	-1.937245099999999866e+03
-4.149103300000000008e-03	-1.936289400000000114e+03
-4.160408899999999861e-03	-1.935129600000000210e+03
-4.149103300000000008e-03	-1.934151200000000017e+03
-4.081270399999999826e-03	-1.933112800000000107e+03
-4.103881200000000264e-03	-1.932108300000000099e+03
-4.160408899999999861e-03	-1.930771099999999933e+03
-4.092576100000000147e-03	-1.930128300000000081e+03
-4.126492499999999571e-03	-1.928752500000000055e+03
-4.137797699999999287e-03	-1.927780200000000150e+03
-4.137797699999999287e-03	-1.926835200000000214e+03
-4.137797699999999287e-03	-1.926030800000000227e+03
-4.194325299999999285e-03	-1.925037199999999984e+03
-4.115186899999999717e-03	-1.923725699999999961e+03
-4.081270399999999826e-03	-1.922771400000000085e+03
-4.115186899999999717e-03	-1.922043600000000197e+03
-4.115186899999999717e-03	-1.920519300000000158e+03
-4.160408899999999861e-03	-1.919474899999999934e+03
-4.171714099999999578e-03	-1.918877400000000080e+03
-4.126492499999999571e-03	-1.917720299999999725e+03
-4.115186899999999717e-03	-1.916232799999999997e+03
-4.115186899999999717e-03	-1.915212800000000243e+03
-4.205630499999999869e-03	-1.914324499999999944e+03
-4.216936099999999722e-03	-1.913222600000000057e+03
-4.160408899999999861e-03	-1.912331299999999828e+03
-4.194325299999999285e-03	-1.911443000000000211e+03
-4.160408899999999861e-03	-1.910295599999999922e+03
-4.171714099999999578e-03	-1.909230599999999868e+03
-4.126492499999999571e-03	-1.908007800000000088e+03
-4.137797699999999287e-03	-1.906942999999999984e+03
-4.160408899999999861e-03	-1.905552599999999984e+03
-4.216936099999999722e-03	-1.904464099999999917e+03
-4.194325299999999285e-03	-1.903663000000000011e+03
-4.171714099999999578e-03	-1.902878600000000006e+03
-4.115186899999999717e-03	-1.901629999999999882e+03
-4.137797699999999287e-03	-1.900557099999999991e+03
-4.115186899999999717e-03	-1.899255799999999908e+03
-4.081270399999999826e-03	-1.898629899999999907e+03
-4.194325299999999285e-03	-1.897378000000000156e+03
-4.250852599999999613e-03	-1.896552999999999884e+03
-4.183019699999999431e-03	-1.895357500000000073e+03
-4.171714099999999578e-03	-1.894302199999999857e+03
-4.160408899999999861e-03	-1.893370300000000043e+03
-4.160408899999999861e-03	-1.892334599999999909e+03
-4.081270399999999826e-03	-1.891062099999999873e+03
-4.126492499999999571e-03	-1.890060299999999870e+03
-4.149103300000000008e-03	-1.889099699999999984e+03
-4.171714099999999578e-03	-1.888152500000000146e+03
-4.194325299999999285e-03	-1.886902199999999993e+03
-4.183019699999999431e-03	-1.885778900000000021e+03
-4.171714099999999578e-03	-1.885082800000000134e+03
-4.126492499999999571e-03	-1.884080500000000029e+03
